epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,54.0549,0.57385,0.74347,0.93556,0.91801,0.96007,0.98574,0.83049,0.69706,0.46379,1.03876,0.00021207,0.00021207,0.00021207
54,55.0348,0.55692,0.67041,0.89693,0.92942,0.94742,0.98574,0.82657,0.71419,0.46921,1.05548,0.000211226,0.000211226,0.000211226
55,55.9991,0.56605,0.66409,0.8978,0.91377,0.96629,0.98574,0.81712,0.77383,0.49721,1.09684,0.000210381,0.000210381,0.000210381
56,56.9597,0.53258,0.66702,0.89442,0.91445,0.96905,0.98574,0.81607,0.76245,0.50042,1.07636,0.000209536,0.000209536,0.000209536
57,57.921,0.53562,0.65417,0.913,0.91897,0.96313,0.98574,0.83725,0.67237,0.45914,1.01719,0.000208691,0.000208691,0.000208691
58,58.881,0.53768,0.65722,0.92027,0.92518,0.95888,0.995,0.85606,0.63395,0.45543,0.99038,0.000207846,0.000207846,0.000207846
59,59.9249,0.56351,0.69772,0.9286,0.85897,0.9841,0.995,0.84906,0.66894,0.46511,1.01964,0.000207002,0.000207002,0.000207002
60,60.8692,0.52217,0.59782,0.90135,0.83035,0.98035,0.995,0.82729,0.74611,0.47181,1.08453,0.000206157,0.000206157,0.000206157
61,61.8261,0.55347,0.68933,0.92157,0.90724,0.96542,0.995,0.8174,0.7578,0.46063,1.08609,0.000205312,0.000205312,0.000205312
62,62.8779,0.52927,0.60592,0.88894,0.94658,0.9602,0.995,0.82277,0.7606,0.4472,1.08013,0.000204467,0.000204467,0.000204467
63,63.832,0.51663,0.61724,0.88565,0.93109,0.95595,0.98574,0.80486,0.80345,0.47215,1.10986,0.000203622,0.000203622,0.000203622
64,64.7748,0.53446,0.6455,0.90578,0.93047,0.94637,0.98574,0.83057,0.74575,0.4711,1.07302,0.000202778,0.000202778,0.000202778
65,65.7209,0.52938,0.60166,0.89636,0.91292,0.95448,0.98574,0.8414,0.6973,0.46595,1.04395,0.000201933,0.000201933,0.000201933
66,66.6638,0.52874,0.59351,0.87897,0.91121,0.97057,0.98574,0.82462,0.72162,0.47675,1.06722,0.000201088,0.000201088,0.000201088
67,67.6358,0.5349,0.65719,0.90914,0.93862,0.93477,0.98574,0.8248,0.74667,0.47059,1.10132,0.000200243,0.000200243,0.000200243
68,68.5901,0.53066,0.63167,0.88628,0.9532,0.93138,0.98574,0.78948,0.77852,0.47089,1.1213,0.000199398,0.000199398,0.000199398
69,69.5303,0.52404,0.58064,0.90044,0.95484,0.93419,0.98574,0.79246,0.76849,0.45886,1.09626,0.000198554,0.000198554,0.000198554
70,70.4825,0.50365,0.55782,0.88343,0.94717,0.96212,0.995,0.81606,0.74798,0.45264,1.0709,0.000197709,0.000197709,0.000197709
71,71.4457,0.57176,0.60938,0.90794,0.9585,0.97497,0.995,0.79983,0.78728,0.46917,1.11512,0.000196864,0.000196864,0.000196864
72,72.4182,0.49702,0.53019,0.88807,0.9338,0.97461,0.995,0.7902,0.81802,0.47021,1.15561,0.000196019,0.000196019,0.000196019
73,73.366,0.49975,0.52309,0.87991,0.939,0.96466,0.995,0.81069,0.77056,0.45355,1.12156,0.000195174,0.000195174,0.000195174
74,74.3262,0.51765,0.59394,0.89624,0.94524,0.97116,0.995,0.8345,0.68413,0.44099,1.0192,0.00019433,0.00019433,0.00019433
75,75.3053,0.49491,0.53954,0.87001,0.93906,0.97577,0.995,0.8508,0.63546,0.42848,0.96713,0.000193485,0.000193485,0.000193485
76,76.23,0.52497,0.55198,0.9061,0.94581,0.96536,0.995,0.84012,0.64888,0.41065,0.97985,0.00019264,0.00019264,0.00019264
77,77.1997,0.50424,0.6117,0.88894,0.95374,0.96791,0.995,0.82659,0.7123,0.42098,1.04162,0.000191795,0.000191795,0.000191795
78,78.1468,0.4938,0.51822,0.89727,0.9401,0.99489,0.995,0.82383,0.72009,0.42798,1.05424,0.00019095,0.00019095,0.00019095
79,79.186,0.50106,0.5366,0.91488,0.91629,0.98587,0.995,0.82507,0.68445,0.42742,1.02089,0.000190106,0.000190106,0.000190106
80,80.1583,0.48948,0.53688,0.90227,0.91727,0.98113,0.995,0.82672,0.6739,0.42037,1.00665,0.000189261,0.000189261,0.000189261
81,81.1467,0.51007,0.57183,0.89148,0.9245,0.97778,0.995,0.83149,0.69494,0.42117,1.02901,0.000188416,0.000188416,0.000188416
82,82.0754,0.52692,0.6467,0.893,0.93604,0.974,0.995,0.81028,0.75028,0.4408,1.0744,0.000187571,0.000187571,0.000187571
83,83.0097,0.51507,0.5649,0.89583,0.95308,0.96364,0.995,0.81152,0.76087,0.45438,1.08294,0.000186726,0.000186726,0.000186726
84,83.9548,0.50247,0.57434,0.88927,0.92206,0.97424,0.98574,0.81686,0.7268,0.44707,1.06535,0.000185882,0.000185882,0.000185882
85,84.8371,0.4936,0.59226,0.88604,0.9191,0.98011,0.98574,0.82194,0.70322,0.44117,1.04841,0.000185037,0.000185037,0.000185037
86,85.7624,0.52775,0.57068,0.8926,0.92533,0.96793,0.98574,0.81484,0.70843,0.45359,1.05056,0.000184192,0.000184192,0.000184192
87,86.8136,0.51694,0.56925,0.90516,0.91777,0.97706,0.98574,0.8089,0.72974,0.44711,1.06667,0.000183347,0.000183347,0.000183347
88,87.9726,0.51061,0.55125,0.87104,0.94344,0.9326,0.98574,0.80134,0.75982,0.43579,1.08068,0.000182502,0.000182502,0.000182502
89,88.9544,0.49115,0.52015,0.88989,0.952,0.92416,0.98574,0.82607,0.70786,0.42574,1.02993,0.000181658,0.000181658,0.000181658
90,89.9248,0.47252,0.54743,0.87807,0.899,0.98476,0.98574,0.83401,0.6613,0.41828,0.9922,0.000180813,0.000180813,0.000180813
91,90.8908,0.47412,0.50347,0.88505,0.92232,0.97663,0.98574,0.846,0.64175,0.40905,0.97353,0.000179968,0.000179968,0.000179968
92,91.8535,0.50112,0.56534,0.89182,0.91232,0.98741,0.98574,0.8422,0.67256,0.41543,0.99697,0.000179123,0.000179123,0.000179123
93,92.866,0.5134,0.54823,0.88792,0.92387,0.98089,0.995,0.85137,0.7023,0.40305,1.03203,0.000178278,0.000178278,0.000178278
94,93.8726,0.47322,0.50707,0.88801,0.95096,0.96619,0.995,0.83266,0.71447,0.40303,1.059,0.000177434,0.000177434,0.000177434
95,95.19,0.48621,0.51923,0.8789,0.95382,0.96632,0.995,0.83023,0.69745,0.40874,1.04509,0.000176589,0.000176589,0.000176589
96,96.151,0.47274,0.51411,0.86872,0.94072,0.96969,0.995,0.83577,0.67964,0.39963,1.02449,0.000175744,0.000175744,0.000175744
97,97.1347,0.48534,0.54774,0.8811,0.93617,0.97382,0.995,0.83605,0.67935,0.39916,1.0193,0.000174899,0.000174899,0.000174899
98,98.1055,0.45057,0.55628,0.86983,0.94129,0.97938,0.995,0.83433,0.68844,0.39884,1.02709,0.000174054,0.000174054,0.000174054
99,99.081,0.49347,0.50265,0.86793,0.94503,0.98325,0.995,0.83136,0.71017,0.39155,1.05109,0.00017321,0.00017321,0.00017321
100,100.082,0.46963,0.51325,0.86948,0.94476,0.98312,0.995,0.84067,0.70855,0.38639,1.05049,0.000172365,0.000172365,0.000172365
101,101.37,0.46682,0.53629,0.85525,0.94815,0.96981,0.995,0.83548,0.71685,0.3907,1.046,0.00017152,0.00017152,0.00017152
